Language,Consonants
Sardinian,"['b', 'β', 'd', 'dz', 'dʒ', 'ɖ', 'ð', 'f', 'ɡ', 'ɣ', 'k', 'l', 'ʎ', 'm', 'ɱ', 'n', 'ŋ', 'ɲ', 'ɳ', 'p', 'ɾ', 'r', 's', 'ʃ', 't', 'ts', 'tʃ', 'θ', 'v', 'z', 'ʒ', 'ʔ']"
Scottish_Gaelic,"['f', 'ɣ', 'h', 'j', 'k', 'l̪ˠ', 'ʎ', 'm', 'n̪ˠ', 'n', 'ŋ', 'p', 'rˠ', 'ɾ', 's̪', 't̪', 'v', 'x']"
Serbo-Croatian,"['b', 'd', 'dʑ', 'dʒ', 'f', 'ɡ', 'j', 'k', 'l', 'l̩', 'ʎ', 'm', 'n', 'n̩', 'ŋ', 'ɲ', 'p', 'r', 'r̩', 's', 'ʃ', 't', 'tɕ', 'ts', 'tʃ', 'ʋ', 'x', 'z', 'ʒ']"
Shan_and_Tai_Lue,"['b', 'd', 'f', 'ɡ', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'ŋ', 'ɲ', 'p', 'pʰ', 'r', 's', 'ʃ', 't', 'tʰ', 'ts', 'tsʰ', 'θ', 'v', 'w', 'x', 'z', 'ʔ']"
Sicilian,"['b', 'c', 'ç', 'd', 'dz', 'dʒ', 'ɖ', 'f', 'ɡ', 'ɟ', 'k', 'l', 'm', 'ɱ', 'n', 'ŋ', 'ɳ', 'ɲ', 'p', 'r', 'ɾ', 'ɽ', 's', 'ʂ', 'ʃ', 't', 'ts', 'tʃ', 'ʈ', 'v', 'z']"
Slovak,"['b', 'c', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'ɦ', 'j', 'ɟ', 'k', 'l', 'l̩', 'ʎ', 'm', 'ɱ', 'n', 'ɲ', 'ŋ', 'p', 'r', 'r̩ː', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'ʋ', 'x', 'z', 'ʒ']"
Slovene,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'ɣ', 'j', 'k', 'l', 'm', 'ɱ', 'n', 'ŋ', 'p', 'ɾ', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'ʋ', 'w', 'x', 'z', 'ʒ']"
Spanish,"['b', 'β', 'd', 'ð', 'f', 'ɡ', 'ɣ', 'ʝ', 'ɟʝ', 'k', 'l', 'ʎ', 'm', 'ɱ', 'n', 'ɲ', 'ŋ', 'p', 'r', 'ɾ', 's', 'θ', 't', 'tʃ', 'v', 'x', 'z', 'ʃ', 'ts']"
Swahili,"['ɓ', 'ɗ', 'ð', 'ʄ', 'f', 'ɠ', 'ɣ', 'h', 'j', 'k', 'l', 'm', 'm̩', 'ᵐb', 'ᶬv', 'n', 'n̩', 'ⁿd', 'ᵑɡ', 'ⁿdʒ', 'ⁿz', 'ɲ', 'ŋ', 'p', 'r', 's', 'ʃ', 't', 'tʃ', 'θ', 'v', 'w', 'x', 'z']"
Nguni,"['bʱ', 'bʱ', 'b', 'd', 'dʒ', 'f', 'ɡ', 'ɠ', 'h', 'ɦ', 'j', 'kʰ', 'k', 'kxʼ', 'l', 'ɬ', 'ɮ', 'm', 'n', 'ɲ', 'pʰ', 'p', 'r', 's', 'ʃ', 'tʰ', 't', 'tsʼ', 'tʃʼ', 'v', 'w', 'x', 'z', 'ᵏǀ', 'ᵏǁ', 'ᵏǃ', 'ᶢǀʱ', 'ᶢǁʱ', 'ᶢǃʱ', 'ᵑǀ', 'ᵑǁ', 'ᵑǃ', 'ɛ', 'e', 'i', 'ɔ', 'o', 'u']"
Swedish,"['b', 'ɕ', 'd', 'ɖ', 'f', 'ɡ', 'h', 'ɧ', 'j', 'k', 'l', 'ɭ', 'm', 'n', 'ɳ', 'ŋ', 'p', 'r', 's', 'ʂ', 't', 'ʈ', 'v', 'w', 'aː']"
Tagalog,"['ʔ', 'b', 'd', 'dʒ', 'ɡ', 'h', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'ɲ', 'p', 'ɾ', 's', 'ʃ', 't', 'ts', 'tʃ', 'w', 'f', 'ɣ', 'ʎ', 'r', 'ɹ', 'v', 'x', 'z']"
Tamil,"['b', 'ɕ', 'd', 'ɖ', 'ð', 'dʑ', 'ɡ', 'h', 'j', 'k', 'l', 'ɭ', 'm', 'n', 'n̪', 'ɲ', 'ɳ', 'ŋ', 'r', 'ɾ', 'ɽ', 'ɻ', 's', 'ʂ', 't', 'ʈ', 'tɕ', 'ʋ', 'x']"
Tatar,"['b', 'ɕ', 'ɕː', 'd', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'q', 'r', 'ʁ', 's', 'ʃ', 't', 'ts', 'tɕ', 'v', 'w', 'χ', 'z', 'ʑ', 'ʒ', 'ʔ']"
Telugu,"['b', 'ʱ', 'd', 'ʱ', 'ɖ', 'ʱ', 'dʒ', 'j', 'ʱ', 'ɡ', 'ʱ', 'ɦ', 'k', 'ʰ', 'l', 'ɭ', 'm', 'n', 'ɲ', 'ŋ', 'p', 'ʰ', 'r', 'ɾ̪', 'r', 'ɽʱ', 's', 'ʃ', 't', 'ʰ', 'ʈ', 'ʰ', 'tʃ', 'ʰ']"
Thai,"['b', 'd', 'f', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'ŋ', 'p', 'pʰ', 'r', 's', 't', 'tʰ', 'tɕ', 'tɕʰ', 'w', 'ʔ', 'j', 'k', 'm', 'n', 'ŋ', 'p', 't', 'w', 'ʔ']"
Tibetan,"['b', 'c', 'cʰ', 'ɕ', 'd', 'ɖ', 'dz', 'dʑ', 'ɡ', 'h', 'j', 'ɟ', 'k', 'kʰ', 'l', 'l̥', 'm', 'n', 'ɲ', 'ŋ', 'p', 'pʰ', 'ɹ', 'ɹ̥', 's', 'ʂ', 't', 'tʰ', 'ʈ', 'ʈʰ', 'tɕ', 'tɕʰ', 'ts', 'tsʰ', 'w', 'z', 'ʑ', 'ʔ', 'ʎ', 'ɥ', 'ç']"
Tigrinya,
Turkish,
Turkmen,
Ukrainian,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'ɣ', 'ɦ', 'j', 'k', 'l', 'm', 'n', 'p', 'r', 's', 'ʃ', 't', 'ts', 'tʃ', 'u̯', 'v', 'w', 'x', 'z', 'ʒ']"
Uzbek,"['b', 'd', 'dʒ', 'ɸ', 'ɡ', 'h', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'q', 'r', 'ʁ', 's', 'ʃ', 't', 'tʃ', 'w', 'χ', 'z', 'ʔ']"
Venetian,"['b', 'd', 'dz', 'dʒ', 'f', 'h', 'ɡ', 'k', 'l', 'ɰ', 'm', 'n', 'ŋ', 'ɲ', 'p', 'ɾ', 's', 't', 'ts', 'tʃ', 'v', 'z']"
Vietnamese,"['ʔ', 'ɓ', 'ɗ', 'f', 'ɣ', 'h', 'k', 'w', 'x', 'l', 'm', 'n', 'ɲ', 'ŋ', 'p', 's', 'ʂ', 't', 'tʰ', 't͡ɕ', 'ʈ', 'v', 'z', 'z', 'r', 'ʷ', 'j', 'm', 'n', 'ŋ', 'n', 'n', 'ŋm', 'p', 't', 'k', 't', 't', 'kp', 'w']"
Walloon,"['b', 'ç', 'χ', 'd', 'dʒ', 'f', 'ɡ', 'h', 'k', 'l', 'm', 'n', 'ɲ', 'p', 'ʀ', 's', 'ʃ', 't', 'tʃ', 'v', 'z', 'ʒ', 'j', 'w']"
Welsh,"['b', 'd', 'dʒ', 'ð', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'ɬ', 'm', 'm̥', 'n', 'n̥', 'ŋ', 'ŋ̊', 'p', 'r', 'r̥', 's', 'ʃ', 't', 'tʃ', 'θ', 'v', 'w', 'χ', 'ʒ']"
West_Frisian,"['b', 'd', 'dz', 'f', 'ɡ', 'ɣ', 'h', 'j', 'k', 'l', 'l̩', 'm', 'm̩', 'n', 'n̩', 'ɲ', 'ŋ', 'ŋ̍', 'p', 'r', 'r̩', 's', 't', 'ts', 'v', 'ʋ', 'χ', 'z', 'ˈ', 'ˌ', '◌̃', 'ɑː', 'ɪː', 'øː', 'œː', 'œ', 'ɵ', 'ɞ']"
Yiddish,"['b', 'd', 'dʒ', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'ʎ', 'm', 'n', 'ŋ', 'p', 'r', 's', 'ʃ', 't', 'v', 'χ', 'z', 'ʒ']"
