Language,Consonants
Cantonese,"['f', 'h', 'j', 'k', 'k̚', 'kʰ', 'kʷ', 'l', 'm', 'n', 'ŋ', 'p', 'p̚', 'pʰ', 's', 't', 't̚', 'tʰ', 'ts', 'tsʰ', 'w', 'm̩', 'ŋ̩']"
Taiwanese_Hokkien,"['p', 'pʰ', 'b', 'm', 't', 'tʰ', 'l', 'n', 'k', 'kʰ', 'g', 'ŋ', 'h', 'ʔ', 't͡s', 't͡ɕ', 't͡sʰ', 't͡ɕʰ', 's', 'ɕ', 'd͡z', 'z', 'd͡ʑ', 'ʑ', 'm̩', 'ŋ̍', 'p̚', 't̚', 'k̚', 'ʔ']"
Corsican,"['b', 'c', 'd', 'dz', 'dʒ', 'ɖ', 'ð', 'f', 'ɡ', 'ɟ', 'k', 'l', 'ʎ', 'm', 'ɱ', 'n', 'ŋ', 'ɲ', 'p', 'r', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'z', 'ʒ', 'j', 'w']"
Czech,"['b', 'c', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'ɦ', 'j', 'ɟ', 'k', 'l', 'l̩', 'm', 'm̩', 'n', 'ɲ', 'ŋ', 'p', 'r', 'r̩', 'r̝', 'r̝̊', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'x', 'z', 'ʒ']"
Danish,"['ɕ', 'ð', 'f', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'ŋ', 'p', 'pʰ', 'ʁ', 's', 't', 'tsʰ', 'tɕ', 'v', 'ˀ']"
Persian,"['b', 'd', 'dʒ', 'f', 'ɡ', 'ɣ', 'q', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'ɾ', 'ɹ', 's', 'ʃ', 't', 'tʃ', 'v', 'x', 'z', 'ʒ', 'ʔ', 'ŋ']"
Dutch,"['b', 'd', 'f', 'ɣ', 'ɦ', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'r', 's', 't', 'v', 'ʋ', 'x', 'z', 'c', 'ɡ', 'ɟ', 'ɲ', 'ʃ', 'ʒ', 'ʔ', 'ˈ', 'ˌ']"
English,[]
Old_English,
Emilian-Romagnol,"['b', 'd', 'dz', 'ð', 'f', 'ɡ', 'k', 'l', 'ʎ', 'm', 'ɱ', 'n', 'ŋ', 'ɲ', 'p', 'ʁ', 's', 't', 'ts', 'θ', 'v', 'z', 'j', 'w', 'ˈ', 'ˌ', '.', 'ː']"
Esperanto,"['b', 't͡s', 't͡ʃ', 'd', 'f', 'ɡ', 'd͡ʒ', 'h', 'x', 'j', 'ʒ', 'k', 'l', 'm', 'n', 'p', 'r', 's', 'ʃ', 't', 'v', 'z']"
Estonian,"['b', 'd', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'r', 's', 'ʃ', 't', 'ʋ', 'ʔ', 'ˈ']"
Fijian,"['β', 'ð', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'r', 's', 't', 'tʃ', 'ɰ']"
Finnish,"['b', 'd', 'f', 'ɡ', 'h', 'j', 'k', 'kː', 'l', 'lː', 'm', 'mː', 'n', 'nː', 'ŋ', 'p', 'pː', 'r', 's', 'sː', 'ʃ', 't', 'tː', 'ʋ', 'ʔ', 'ˈ']"
